"Node id (0-based)","[0] vertex (==1)","[1] degree","[2] 2-path","[3] bifork","[4] 3-cycle"
0,1,0,0,-0,0
1,1,2,12,1,0
2,1,6,41,5,10
3,1,0,0,-0,0
4,1,3,9,3,0
5,1,12,58,53,13
6,1,2,23,1,0
7,1,1,1,0,0
8,1,3,5,3,0
9,1,18,119,129,24
10,1,12,129,49,17
11,1,15,140,87,18
12,1,7,19,17,4
13,1,2,7,1,0
14,1,6,26,11,4
15,1,3,7,0,3
16,1,4,9,3,3
17,1,5,10,7,3
18,1,1,0,0,0
19,1,1,0,0,0
20,1,2,0,0,1
21,1,1,2,0,0
22,1,3,18,2,1
23,1,3,5,2,1
24,1,7,40,18,3
25,1,2,9,1,0
26,1,5,15,7,3
27,1,7,30,17,4
28,1,2,2,0,1
29,1,1,4,0,0
30,1,3,18,2,1
31,1,12,108,45,21
32,1,0,0,-0,0
33,1,18,144,123,30
34,1,13,133,55,23
35,1,1,1,0,0
36,1,2,6,1,0
37,1,7,16,19,2
38,1,3,7,2,1
39,1,1,7,0,0
40,1,0,0,-0,0
41,1,1,2,0,0
42,1,16,141,83,37
43,1,12,83,56,10
44,1,17,147,93,43
45,1,9,51,28,8
46,1,0,0,-0,0
47,1,8,46,21,7
48,1,8,28,23,5
49,1,3,1,2,1
50,1,0,0,-0,0
51,1,2,12,1,0
52,1,1,3,0,0
53,1,7,29,6,15
54,1,4,9,6,0
55,1,5,12,4,6
56,1,2,3,1,0
57,1,3,19,2,1
58,1,3,8,2,1
59,1,1,1,0,0
60,1,7,9,14,7
61,1,6,14,9,6
62,1,8,26,21,7
63,1,13,53,59,19
64,1,6,18,9,6
65,1,9,42,32,4
66,1,5,26,9,1
67,1,1,1,0,0
68,1,1,3,0,0
69,1,4,3,6,0
70,1,7,30,15,6
71,1,2,2,1,0
72,1,0,0,-0,0
73,1,3,14,2,1
74,1,2,5,1,0
75,1,4,17,3,3
76,1,0,0,-0,0
77,1,1,4,0,0
78,1,5,10,9,1
79,1,2,1,1,0
80,1,4,36,0,6
81,1,1,6,0,0
82,1,2,0,0,1
83,1,4,11,5,1
84,1,9,60,28,8
85,1,1,5,0,0
86,1,1,2,0,0
87,1,0,0,-0,0
88,1,1,1,0,0
89,1,2,1,1,0
90,1,4,19,5,1
91,1,0,0,-0,0
92,1,6,22,14,1
93,1,3,16,2,1
94,1,11,63,50,5
95,1,5,23,8,2
96,1,12,97,50,16
97,1,14,130,63,28
98,1,14,120,67,24
99,1,3,31,0,3
100,1,2,10,1,0
101,1,1,0,0,0
102,1,5,22,6,4
103,1,5,14,7,3
104,1,0,0,-0,0
105,1,3,20,2,1
106,1,5,9,9,1
107,1,5,37,8,2
108,1,8,14,17,11
109,1,4,17,6,0
110,1,7,20,16,5
111,1,8,47,23,5
112,1,3,17,3,0
113,1,1,0,0,0
114,1,4,32,5,1
115,1,12,76,49,17
116,1,8,32,21,7
117,1,2,10,1,0
118,1,2,0,0,1
119,1,0,0,-0,0
